,p_d,g_d,q_d,g_w
2月1日,166.36,4433.76,,70.082
2月1日,166.36,4486.54,,350.142
2月1日,3064.57,4267.33,,665.176
2月1日,4071.51,3051.05,,665.176
2月1日,4202.85,3450.79,,665.176
2月1日,4071.51,3178.71,,560.12
2月1日,3677.49,1228.43,,560.12
2月1日,3940.17,589.83,,665.176
2月1日,4027.73,1079.59,,665.176
2月1日,3852.61,1484.18,,665.176
2月1日,3502.37,1732.12,,665.176
2月1日,3502.37,2193.13,,210.112
2月1日,2101.42,1035.93,,210.112
2月1日,1576.07,1179.03,,0
2月1日,1576.07,1277.13,,0
2月1日,166.36,1141.99,,0
2月1日,166.36,1218.63,,0
2月1日,166.36,1294.44,,0
